common_name,scientific_name,ideal_soil,sun_req,water_req,usda_zone_min,usda_zone_max
Allium triquetrum,Allium triquetrum,"Light (sandy), Medium","Full sun, Partial sun/shade, Full shade",Moist,7.0,10.0
Allium tuberosum,Allium tuberosum,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Allium tricoccum,Allium tricoccum,"Light (sandy), Medium",Partial sun/shade,Moist,5.0,9.0
Allium victorialis,Allium victorialis,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Allium validum,Allium validum,"Light (sandy), Medium",Full sun,"Moist, Wet",7.0,10.0
Allium unifolium,Allium unifolium,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Allium thunbergii,Allium thunbergii,"Light (sandy), Medium",Full sun,Moist,7.0,10.0
Alnus acuminata,Alnus acuminata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Alnus jorullensis,Alnus jorullensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",7.0,12.0
Alnus incana,Alnus incana,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist, Wet",2.0,6.0
Alnus cordata,Alnus cordata,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist, Wet",5.0,9.0
Alnus japonica,Alnus japonica,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist, Wet",4.0,8.0
Alnus maritima,Alnus maritima,"Medium, Heavy (clay)",Full sun,"Moist, Wet",3.0,7.0
Alnus hirsuta,Alnus hirsuta,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",3.0,7.0
Origanum x hybridum,Origanum x hybridum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",7.0,10.0
Aloe vera,Aloe vera,"Light (sandy), Medium",Full sun,"Dry, Moist",9.0,11.0
Amaranthus blitum,Amaranthus blitum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Colocasia esculenta,Colocasia esculenta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",9.0,11.0
Amaranthus blitoides,Amaranthus blitoides,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,10.0
Amaranthus albus,Amaranthus albus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,8.0,10.0
Amaranthus bidentata,Amaranthus bidentata,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Perry's Aloe,Aloe perryi,"Light (sandy), Medium",Full sun,Dry,10.0,12.0
Lemon Verbena,Aloysia citrodora,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",7.0,10.0
Alopecurus aequalis,Alopecurus aequalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Aralia spinosa,Aralia spinosa,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,5.0,9.0
Panax ginseng,Panax ginseng,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,5.0,9.0
Panax quinquefolius,Panax quinquefolius,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,3.0,7.0
Araucaria angustifolia,Araucaria angustifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,12.0
Cardamine hirsuta,Cardamine hirsuta,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Araucaria bidwillii,Araucaria bidwillii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,9.0,11.0
Panax pseudoginseng,Panax pseudoginseng,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,5.0,9.0
Araujia sericifera,Araujia sericifera,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,8.0,11.0
Allium paradoxum,Allium paradoxum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,7.0,10.0
Allium neapolitanum,Allium neapolitanum,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Alnus nepalensis,Alnus nepalensis,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",8.0,11.0
Alnus rugosa,Alnus rugosa,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",2.0,6.0
Alnus rhombifolia,Alnus rhombifolia,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",8.0,11.0
Alnus tenuifolia,Alnus tenuifolia,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",5.0,7.0
Alnus sinuata,Alnus sinuata,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",2.0,9.0
Alnus serrulata,Alnus serrulata,"Medium, Heavy (clay)",Full sun,"Moist, Wet",3.0,9.0
Alnus nitida,Alnus nitida,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist, Wet",7.0,10.0
Alnus maximowiczii,Alnus maximowiczii,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",4.0,8.0
Malva sylvestris,Malva sylvestris,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Aloe arborescens,Aloe arborescens,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",10.0,11.0
Althaea officinalis,Althaea officinalis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,7.0
Arachis hypogaea,Arachis hypogaea,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Alocasia macrorrhizos,Alocasia macrorrhizos,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,10.0,12.0
Arachis pintoi,Arachis pintoi,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Moist, Wet",8.0,12.0
Lobularia maritima,Lobularia maritima,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,9.0
Aurinia saxatilis,Aurinia saxatilis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,10.0
Aquilegia canadensis,Aquilegia canadensis,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,10.0
Aquilegia formosa,Aquilegia formosa,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,3.0,7.0
Aquilegia formosa truncata,Aquilegia formosa truncata,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,3.0,7.0
Aquilegia coerulea,Aquilegia coerulea,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,3.0,7.0
Aquilegia flabellata,Aquilegia flabellata,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,3.0,9.0
Aquilegia pubescens,Aquilegia pubescens,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,8.0
Aquilegia flavescens,Aquilegia flavescens,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,4.0,8.0
Aquilegia jonesii,Aquilegia jonesii,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,3.0,7.0
Aquilegia karelinii,Aquilegia karelinii,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,,
Allium cepa ascalonicum,Allium cepa ascalonicum,"Light (sandy), Medium",Full sun,Moist,4.0,8.0
Allium cernuum,Allium cernuum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Allium chinense,Allium chinense,"Light (sandy), Medium",Full sun,Moist,6.0,9.0
Allium carinatum,Allium carinatum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Allium carolinianum,Allium carolinianum,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Allium condensatum,Allium condensatum,"Light (sandy), Medium",Full sun,Moist,4.0,8.0
Indian Bowstring Hemp,Sansevieria roxburghiana,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",10.0,12.0
African Bowstring Hemp,Sansevieria hyacinthoides,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",10.0,12.0
Aegopodium alpestre,Aegopodium alpestre,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,,
Aleurites moluccanus,Aleurites moluccanus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Vernicia fordii,Vernicia fordii,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,"Dry, Moist",8.0,11.0
Vernicia montana,Vernicia montana,"Light (sandy), Medium",Full sun,"Dry, Moist",10.0,12.0
Aleurites fordii,Aleurites fordii,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,8.0,10.0
Alcea rosea,Alcea rosea,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,9.0
Dyera costulata,Dyera costulata,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Alstroemeria pelegrina,Alstroemeria pelegrina,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",8.0,11.0
Alstroemeria ligtu,Alstroemeria ligtu,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",8.0,10.0
Alstroemeria haemantha,Alstroemeria haemantha,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,8.0,11.0
Alstroemeria versicolor,Alstroemeria versicolor,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,8.0,11.0
Alstroemeria revoluta,Alstroemeria revoluta,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,,
Alstroemeria spectabilis,Alstroemeria spectabilis,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,,
Amaranthus caudatus,Amaranthus caudatus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Amaranthus cruentus,Amaranthus cruentus,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",3.0,11.0
Amaranthus dubius,Amaranthus dubius,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus graecizans,Amaranthus graecizans,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus campestris,Amaranthus campestris,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus diacanthus,Amaranthus diacanthus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Amaranthus frumentaceus,Amaranthus frumentaceus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Althaea cannabina,Althaea cannabina,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,8.0
Alternanthera sissoo,Alternanthera sissoo,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,10.0,12.0
Aquilaria crassna,Aquilaria crassna,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Panax trifolius,Panax trifolius,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade",Moist,3.0,7.0
Aquilegia brevistyla,Aquilegia brevistyla,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,,
Tetrapanax papyrifer,Tetrapanax papyrifer,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Aquilegia buergeriana,Aquilegia buergeriana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
Polyscias fruticosa,Polyscias fruticosa,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,10.0,12.0
Stylosanthes biflora,Stylosanthes biflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",4.0,8.0
Stilbocarpa polaris,Stilbocarpa polaris,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Turritis glabra,Turritis glabra,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,6.0,9.0
Allium fistulosum,Allium fistulosum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Allium giganteum,Allium giganteum,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,10.0
Allium flavum,Allium flavum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,7.0
Allium geyeri,Allium geyeri,"Light (sandy), Medium",Full sun,Moist,6.0,9.0
Allium drummondii,Allium drummondii,"Light (sandy), Medium",Full sun,Moist,6.0,9.0
Allium cupanii,Allium cupanii,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Allium geyeri tenerum,Allium geyeri tenerum,"Light (sandy), Medium",Full sun,Moist,3.0,7.0
Allium dregeanum,Allium dregeanum,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Allium douglasii,Allium douglasii,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Allium galanthum,Allium galanthum,"Light (sandy), Medium",Full sun,Moist,,
Allium porrum,Allium porrum,"Light (sandy), Medium",Full sun,Moist,5.0,9.0
Allanblackia stuhlmannii,Allanblackia stuhlmannii,"Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Allanblackia floribunda,Allanblackia floribunda,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Allanblackia parviflora,Allanblackia parviflora,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Alliaria petiolata,Alliaria petiolata,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Moist, Wet",6.0,8.0
Allium aflatunense,Allium aflatunense,"Light (sandy), Medium",Full sun,Moist,4.0,8.0
Allium platycaule,Allium platycaule,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,9.0
Allium przewalskianum,Allium przewalskianum,Light (sandy),Full sun,"Dry, Moist",7.0,10.0
Allium acuminatum,Allium acuminatum,"Light (sandy), Medium",Full sun,"Dry, Moist",5.0,9.0
Cruciata laevipes,Cruciata laevipes,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",,
Lilac Daphne,Daphne genkwa,"Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Daphne gnidium,Daphne gnidium,"Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",7.0,10.0
Daphne bholua,Daphne bholua,"Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade","Dry, Moist",7.0,10.0
Daniellia oliveri,Daniellia oliveri,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Daphne laureola,Daphne laureola,"Medium, Heavy (clay)","Partial sun/shade, Full shade","Dry, Moist",6.0,9.0
Daphne involucrata,Daphne involucrata,"Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,,
Dalea purpurea,Dalea purpurea,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Dalea gattingeri,Dalea gattingeri,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Damasonium alisma,Damasonium alisma,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Wet, Water",6.0,9.0
Daucus carota,Daucus carota,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Datura stramonium,Datura stramonium,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Datura inoxia,Datura inoxia,"Light (sandy), Medium",Full sun,"Dry, Moist",8.0,11.0
Datura metel,Datura metel,"Light (sandy), Medium",Full sun,"Dry, Moist",8.0,11.0
Dasylirion wheeleri,Dasylirion wheeleri,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Datisca cannabina,Datisca cannabina,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Datura quercifolia,Datura quercifolia,"Light (sandy), Medium",Full sun,"Dry, Moist",7.0,10.0
Dasylirion texanum,Dasylirion texanum,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Crataegus punctata,Crataegus punctata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",4.0,8.0
Blue hawthorn,Crataegus schraderana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",5.0,9.0
Crataegus songorica,Crataegus songorica,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Cucumis melo,Cucumis melo,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis melo agrestis,Cucumis melo agrestis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis anguria,Cucumis anguria,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis melo conomon,Cucumis melo conomon,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis melo cantalupensis,Cucumis melo cantalupensis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,10.0
Cucumis melo chito,Cucumis melo chito,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucubalus baccifer,Cucubalus baccifer,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,Moist,6.0,9.0
Cucurbita foetidissima,Cucurbita foetidissima,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",9.0,11.0
Cucurbita ficifolia,Cucurbita ficifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",9.0,11.0
Cucurbita argyrosperma,Cucurbita argyrosperma,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,2.0,11.0
Cucurbita digitata,Cucurbita digitata,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",10.0,12.0
Cucumis melo momordica,Cucumis melo momordica,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis melo flexuosus,Cucumis melo flexuosus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis melo inodorus,Cucumis melo inodorus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cucumis metuliferus,Cucumis metuliferus,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cupressus lusitanica,Cupressus lusitanica,"Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,9.0,12.0
Crataegus stipulosa,Crataegus stipulosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Crataegus species,Crataegus species,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Cupressus sempervirens,Cupressus sempervirens,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,11.0
Cupressocyparis leylandii,Cupressocyparis leylandii,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,10.0
Cupressus arizonica,Cupressus arizonica,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,9.0
Cupressus macrocarpa,Cupressus macrocarpa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Cupressus torulosa,Cupressus torulosa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Curculigo orchioides,Curculigo orchioides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,10.0,12.0
Sorbus torminalis,Sorbus torminalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,9.0
Populus maximowiczii,Populus maximowiczii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Populus sieboldii,Populus sieboldii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Populus trichocarpa,Populus trichocarpa,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,4.0,8.0
Populus tremuloides,Populus tremuloides,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",2.0,5.0
Populus x jackii,Populus x jackii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Polymnia edulis,Polymnia edulis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Citrus limon,Citrus limon,"Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Citrus aurantium,Citrus aurantium,"Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Citrus reticulata,Citrus reticulata,"Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Cistus ladanifer,Cistus ladanifer,"Light (sandy), Medium",Full sun,"Dry, Moist",6.0,9.0
Citrus aurantiifolia,Citrus aurantiifolia,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Citrus x meyeri,Citrus x meyeri,"Medium, Heavy (clay)",Full sun,Moist,8.0,11.0
Citrus sinensis,Citrus sinensis,"Medium, Heavy (clay)",Full sun,Moist,9.0,11.0
Citrullus colocynthis,Citrullus colocynthis,"Light (sandy), Medium",Full sun,"Dry, Moist",10.0,12.0
Citrullus lanatus,Citrullus lanatus,"Light (sandy), Medium",Full sun,"Dry, Moist",8.0,11.0
Citrus ichangensis,Citrus ichangensis,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,7.0,10.0
Cirsium japonicum,Cirsium japonicum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,5.0,9.0
Cirsium hookerianum,Cirsium hookerianum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Cirsium occidentale,Cirsium occidentale,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",8.0,11.0
Cirsium kamtschaticum,Cirsium kamtschaticum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Cirsium nipponicum,Cirsium nipponicum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Cirsium maritimum,Cirsium maritimum,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Cirsium maackii,Cirsium maackii,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Cirsium lineare,Cirsium lineare,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Cirsium lepskyle,Cirsium lepskyle,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,,
Viola biflora,Viola biflora,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,Moist,,
Chondrilla,Chondrilla ambigua,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,9.0
Chondrilla juncea,Chondrilla juncea,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Grey sedge,Lepironia articulata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, wet, Water",10.0,12.0
Saw Grass,Cladium mariscus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",3.0,7.0
Chorispora tenella,Chorispora tenella,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Chondrilla chondrilloides,Chondrilla chondrilloides,"Light (sandy), Medium",Full sun,"Dry, Moist",,
Chorispora sabulosa,Chorispora sabulosa,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",,
Coprosma robusta,Coprosma robusta,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,8.0,11.0
Coprosma virescens,Coprosma virescens,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,7.0,10.0
Coptis chinensis,Coptis chinensis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",5.0,9.0
Coprosma rugosa,Coprosma rugosa,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,6.0,9.0
Coprosma serrulata,Coprosma serrulata,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,7.0,10.0
Coprosma rhamnoides,Coprosma rhamnoides,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,7.0,10.0
Coprosma rotundifolia,Coprosma rotundifolia,"Light (sandy), Medium","Full sun, Partial sun/shade",Moist,8.0,11.0
Coptis deltoidea,Coptis deltoidea,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Moist, Wet",,
Coptis brachypetala,Coptis brachypetala,"Light (sandy), Medium",Partial sun/shade,Moist,,
Polygonatum multiflorum,Polygonatum multiflorum,"Light (sandy), Medium, Heavy (clay)","Partial sun/shade, Full shade","Dry, Moist",4.0,8.0
Conyza canadensis,Conyza canadensis,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Ipomoea pandurata,Ipomoea pandurata,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,6.0,9.0
Coreopsis auriculata,Coreopsis auriculata,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,8.0
Philadelphus x virginalis,Philadelphus x virginalis,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,5.0,8.0
Phlox divaricata,Phlox divaricata,"Light (sandy), Medium","Full sun, Partial sun/shade, Full shade",Moist,4.0,9.0
Phlox paniculata,Phlox paniculata,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,9.0
Phlox subulata,Phlox subulata,"Light (sandy), Medium",Full sun,"Dry, Moist",4.0,9.0
Phillyrea latifolia,Phillyrea latifolia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Phlomis tuberosa,Phlomis tuberosa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",5.0,9.0
Phlomis umbrosa,Phlomis umbrosa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",6.0,9.0
Phlomis samia,Phlomis samia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Phlox nivalis,Phlox nivalis,"Light (sandy), Medium","Full sun, Partial sun/shade","Dry, Moist",6.0,9.0
Phleum pratense,Phleum pratense,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,4.0,8.0
Phlomis fruticosa,Phlomis fruticosa,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",4.0,7.0
Phyllospadix scouleri,Phyllospadix scouleri,"Light (sandy), Medium, Heavy (clay)",Full sun,"Wet, Water",,
Phyllocladus trichomanoides,Phyllocladus trichomanoides,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Phlomis russeliana,Phlomis russeliana,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade","Dry, Moist",5.0,9.0
Phlomis lychnitis,Phlomis lychnitis,"Light (sandy), Medium, Heavy (clay)",Full sun,"Dry, Moist",7.0,10.0
Phyllocladus aspleniifolius,Phyllocladus aspleniifolius,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,8.0,11.0
Phyllocladus alpinus,Phyllocladus alpinus,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Tabernaemontana hystrix,Tabernaemontana hystrix,"Light (sandy), Medium, Heavy (clay)",Full sun,Moist,10.0,12.0
Phyllostachys nigra henonis,Phyllostachys nigra henonis,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,Moist,6.0,9.0
Phyllostachys nuda,Phyllostachys nuda,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,7.0,10.0
Phyllostachys nigra punctata,Phyllostachys nigra punctata,"Light (sandy), Medium, Heavy (clay)",Partial sun/shade,Moist,6.0,9.0
Phyllostachys glauca,Phyllostachys glauca,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade, Full shade",Moist,,
Phyllostachys nidularia,Phyllostachys nidularia,"Light (sandy), Medium, Heavy (clay)","Full sun, Partial sun/shade",Moist,6.0,9.0
